CO_GRUPO;NOME_CURSO;CO_CURSO
1601;Ciências Biológicas (Bacharelado);525, 861, 1430, 4677, 12027, 12332, 13225, 14506, 15081, 15333, 15786, 16591, 16897, 17727, 19431, 20190, 21114, 23976, 29106, 31957, 31958, 31959, 35878, 38881, 40103, 44382, 44951, 44992, 45003, 45384, 45498, 47280, 49004, 50948, 54856, 56141, 57444, 58372, 60448, 61361, 63838, 64458, 66005, 66981, 69428, 69445, 72627, 72882, 73208, 74303, 74364, 83208, 90719, 91185, 94311, 95329, 96401, 99086, 99278, 99841, 100421, 100820, 101219, 101834, 102400, 102569, 103451, 105194, 105257, 105726, 106636, 107734, 111150, 111492, 111568, 112584, 112586, 113737, 113851, 113853, 114055, 115672, 116886, 116930, 117756, 118024, 121005, 121706, 123065, 123617, 150052, 150053, 150087, 150152, 300621, 300684, 300772, 301109, 301624, 301905, 302009, 303142, 303149, 303154, 303222, 303408, 303574, 303673, 303848, 304318, 304850, 305231, 305353, 305481, 305953, 306118, 306578, 307409, 307490, 307963, 308164, 308589, 309726, 309837, 310154, 310610, 311310, 311426, 311593, 312588, 312812, 312916, 312945, 313086, 313283, 313399, 313974, 314089, 314135, 314218, 314856, 315544, 315831, 315876, 317148, 317636, 318363, 318876, 319057, 319477, 319491, 320068, 320326, 320718, 320848, 321040, 337785, 344367, 347325, 347559, 347560, 348948, 349000, 352046, 352256, 353459, 354400, 356744, 361082, 364194, 366506, 367221, 368683, 373968, 375228, 375233, 376377, 376421, 376429, 376475, 376483, 376528, 376554, 376626, 395215, 397767, 399026, 405176, 409616, 411354, 417498, 1046776, 1071704, 1075352, 1102345, 1110779, 1111485, 1112281, 1113004, 1113241, 1113713, 1114292, 1114511, 1118189, 1129459, 1135277, 1138069, 1143955, 1151681, 1155928, 1155971, 1170473, 1170477, 1174681, 1180207, 1180816, 1184181, 1185411, 1185667, 1185669, 1188880, 1190630, 1190631, 1190682, 1205023, 1212121, 1257738, 1258025, 1258309, 1259499, 1263648, 1266376, 1267045, 1269997, 1270678, 1272128, 1279265, 1279626, 1279652, 1285517, 1292752, 1300221, 1300317, 1303607, 1308826, 1313306, 1322704, 1327243, 1343350, 1357571, 1363761, 1365476, 1396686, 1398182, 1413342, 1427450, 1427741, 1427757, 1428573, 1438415, 1443401, 1458318, 1458669, 1458717, 5000071, 5000435
1602;Ciências Biológicas (Licenciatura);29, 32, 160, 327, 398, 621, 684, 772, 972, 1109, 1624, 1905, 2009, 2722, 3149, 3154, 3219, 3222, 3408, 3574, 3613, 3673, 3848, 4318, 4850, 5072, 5231, 5353, 5481, 5779, 5953, 6578, 6634, 6818, 7409, 7490, 8164, 8801, 9726, 10610, 10955, 11310, 11325, 11426, 11543, 11593, 11660, 12023, 12105, 12588, 12812, 12916, 12945, 13086, 13283, 13399, 13974, 14089, 14135, 14218, 14512, 14856, 15192, 15410, 15706, 15831, 15863, 15866, 15876, 16248, 16269, 16275, 16276, 16389, 17148, 17636, 17913, 18363, 18381, 18487, 18491, 18496, 18876, 18894, 18963, 19016, 19072, 19076, 19091, 19142, 19146, 19152, 19195, 19283, 19443, 19491, 19830, 20068, 20122, 20234, 20262, 20270, 20676, 20848, 20889, 21248, 21450, 21807, 21890, 21971, 22049, 23051, 29951, 31537, 31802, 38429, 38768, 39060, 41690, 44261, 44367, 44900, 45004, 45328, 45711, 45713, 45715, 46715, 47325, 47335, 47558, 47560, 47680, 47856, 48292, 48948, 49000, 49411, 49508, 49551, 49818, 49823, 50287, 50729, 50856, 50933, 51072, 52046, 52256, 52756, 53469, 54044, 54174, 54400, 54647, 54676, 55756, 55813, 57366, 57704, 58074, 58506, 58518, 59412, 59453, 59994, 59998, 60255, 60538, 60599, 60670, 60674, 60980, 61028, 62674, 63045, 63484, 64552, 65171, 66008, 66299, 66303, 66506, 67221, 67813, 69586, 69650, 71556, 73968, 74270, 74301, 74366, 75228, 75231, 75233, 75590, 75632, 76357, 76377, 76421, 76429, 76475, 76483, 76528, 76554, 76626, 80254, 80829, 81296, 82358, 83296, 83316, 83328, 83332, 83927, 85136, 85762, 86244, 86282, 87222, 87481, 88208, 88478, 89238, 90728, 91671, 92385, 92740, 94641, 95037, 95215, 96403, 97767, 98546, 98614, 98650, 99026, 99287, 99363, 99370, 99714, 99720, 99728, 99802, 99804, 99860, 99862, 99906, 100148, 100207, 100584, 100672, 100742, 100900, 101140, 102086, 102166, 102570, 103029, 103303, 103352, 103370, 103477, 104368, 104398, 104640, 104802, 104810, 105176, 106384, 106411, 107436, 107736, 109390, 109616, 111986, 112927, 113090, 113393, 113459, 113699, 113703, 113735, 113824, 114120, 114182, 114562, 115037, 115078, 115096, 115872, 116638, 116852, 116874, 117424, 118566, 120604, 120887, 122354, 122662, 123067, 123230, 123411, 123470, 123578, 123642, 123778, 150204, 312332, 344951, 1070677, 1071705, 1073312, 1084792, 1101387, 1102399, 1102499, 1102643, 1102693, 1102695, 1102801, 1102962, 1103186, 1103317, 1103419, 1103451, 1103692, 1103909, 1105299, 1105897, 1112662, 1116025, 1116852, 1117559, 1123287, 1126104, 1126666, 1126887, 1128029, 1128225, 1128547, 1128930, 1136925, 1138986, 1142319, 1142423, 1148030, 1150789, 1151328, 1151549, 1151677, 1152544, 1152571, 1152580, 1152882, 1153478, 1159013, 1159054, 1159666, 1160029, 1160425, 1160842, 1160888, 1161928, 1163653, 1165090, 1168211, 1168361, 1168525, 1168581, 1168583, 1169965, 1174338, 1180601, 1183927, 1188418, 1190061, 1191349, 1203130, 1203646, 1204444, 1204892, 1204984, 1211883, 1258026, 1258780, 1258839, 1259167, 1259918, 1260317, 1260417, 1260522, 1263591, 1264089, 1266098, 1267326, 1270232, 1270468, 1270469, 1270517, 1280561, 1284898, 1285018, 1286489, 1288838, 1292753, 1292765, 1300116, 1303971, 1304669, 1305265, 1309618, 1313179, 1313186, 1313187, 1313443, 1314373, 1314994, 1321318, 1322317, 1322609, 1323000, 1327356, 1327518, 1327522, 1332354, 1338870, 1339438, 1341233, 1341234, 1341255, 1341256, 1342455, 1342497, 1352592, 1354738, 1359179, 1365452, 1376002, 1376050, 1382817, 1398184, 1399733, 1399738, 1400718, 1401620, 1403536, 1404068, 1404179, 1404197, 1405214, 1406170, 1419766, 1419824, 1427451, 1427708, 1427756, 1428321, 1436021, 1438391, 1443412, 1457029, 1458718, 1479133, 1483399, 1518244, 5000575
2001;Pedagogia (Licenciatura);6, 23, 150, 163, 315, 381, 697, 850, 954, 1326, 1435, 1515, 1648, 1741, 1758, 1780, 1782, 1882, 2014, 2085, 2110, 2204, 2208, 2211, 2212, 2215, 2216, 2221, 2289, 2529, 2588, 2626, 2645, 2675, 2700, 2716, 3132, 3166, 3209, 3214, 3397, 3416, 3497, 3561, 3622, 3644, 3664, 3838, 3843, 4090, 4129, 4196, 4224, 4373, 4389, 4401, 4464, 4502, 4591, 4652, 4848, 4865, 5071, 5119, 5179, 5191, 5300, 5355, 5478, 5579, 5702, 5728, 5805, 5818, 5882, 5949, 6025, 6104, 6159, 6478, 6568, 6665, 6725, 6750, 6803, 7025, 7062, 7078, 7190, 7304, 7454, 7500, 7709, 7758, 7798, 7878, 7944, 8034, 8058, 8160, 8425, 8439, 8488, 8765, 8788, 8799, 8803, 8973, 9001, 9082, 9100, 9125, 9205, 9238, 9265, 9285, 9297, 9315, 9422, 9466, 9535, 9642, 9720, 9765, 9816, 9979, 10002, 10022, 10240, 10462, 10499, 10708, 10738, 10793, 10861, 11140, 11231, 11314, 11432, 11449, 11456, 11535, 11548, 11605, 11885, 11893, 11996, 12040, 12048, 12061, 12069, 12076, 12085, 12111, 12353, 12557, 12690, 12717, 12819, 12973, 13105, 13213, 13298, 13410, 13418, 13452, 13580, 13729, 13967, 14090, 14122, 14237, 14349, 14827, 14875, 14987, 15084, 15100, 15228, 15243, 15412, 15471, 15603, 15695, 15719, 15785, 15842, 15851, 15857, 15861, 16002, 16007, 16125, 16185, 16214, 16265, 16271, 16336, 16392, 16483, 16499, 16549, 16581, 16590, 16655, 16676, 16689, 16819, 16863, 16902, 17028, 17035, 17079, 17098, 17108, 17129, 17142, 17144, 17199, 17321, 17329, 17344, 17453, 17556, 17609, 17665, 18042, 18091, 18114, 18215, 18284, 18300, 18303, 18346, 18349, 18383, 18410, 18414, 18417, 18694, 18796, 18947, 19039, 19040, 19041, 19225, 19234, 19300, 19346, 19407, 19534, 19565, 19594, 19626, 19668, 19717, 19733, 19758, 19759, 19770, 19778, 19800, 19823, 19845, 19854, 19874, 19879, 19885, 19911, 19920, 19944, 19950, 20001, 20020, 20124, 20153, 20257, 20298, 20309, 20387, 20398, 20412, 20438, 20456, 20472, 20480, 20558, 20644, 20704, 20753, 20938, 21070, 21137, 21217, 21247, 21263, 21264, 21287, 21303, 21482, 21484, 21489, 21501, 21551, 21660, 21737, 21740, 21760, 21779, 21799, 21824, 21828, 21873, 21874, 21875, 21880, 21885, 21895, 21913, 21921, 21992, 22025, 22053, 22075, 22087, 32470, 33221, 34476, 35172, 37288, 37291, 37305, 37777, 37779, 37781, 37794, 37795, 38186, 38273, 38276, 38807, 38963, 39238, 39269, 39300, 39393, 39672, 39688, 40808, 41077, 41240, 41263, 41322, 41505, 41677, 41798, 42019, 42088, 43229, 43242, 43399, 43463, 43743, 44076, 44295, 46395, 46474, 46480, 46546, 46748, 46785, 46940, 47579, 47584, 47793, 47880, 48195, 48522, 48616, 48650, 48831, 48834, 48876, 48897, 48900, 48908, 48968, 48974, 48986, 49033, 49076, 49157, 49225, 49301, 49351, 49357, 49365, 49687, 49712, 49873, 50079, 50380, 50389, 50476, 50891, 50916, 51067, 51229, 51397, 51413, 51536, 52933, 53379, 54053, 54182, 54373, 54651, 55236, 55396, 55782, 55838, 56134, 56340, 56346, 56354, 56356, 56600, 56724, 56912, 57278, 57376, 57422, 57630, 58154, 58907, 58996, 59052, 59402, 59505, 59596, 59628, 59841, 59940, 59972, 59977, 59988, 59993, 60040, 60266, 60420, 61074, 61284, 62083, 62229, 62458, 63550, 63558, 63726, 64704, 64811, 64854, 64910, 66622, 66671, 66893, 66917, 66920, 66926, 66929, 67571, 68360, 68408, 68594, 69069, 69132, 69386, 69832, 70488, 70492, 70732, 71002, 71247, 71320, 71413, 72243, 73064, 73131, 73192, 73267, 73449, 73580, 73691, 73782, 74021, 74104, 74174, 74180, 74212, 74240, 74296, 75141, 75182, 75198, 75203, 75396, 75512, 79377, 79960, 80795, 80814, 80922, 81640, 83040, 83160, 83173, 83272, 83344, 83353, 83356, 83358, 83392, 83394, 83396, 83402, 83404, 83411, 83415, 83570, 84880, 85058, 85260, 85276, 85345, 85380, 85488, 85688, 85724, 85750, 85806, 86224, 86602, 86627, 86756, 87280, 87444, 87454, 87464, 87544, 88030, 88064, 88088, 88152, 88912, 89269, 89380, 89890, 90414, 90424, 90453, 90523, 90625, 90941, 91099, 91737, 91751, 91760, 91769, 91776, 91795, 91969, 91975, 92051, 92054, 92061, 92260, 92355, 92559, 92955, 93396, 94307, 94363, 94821, 94994, 95057, 95143, 95205, 95213, 95237, 95284, 95295, 96372, 96438, 96483, 96655, 96771, 96874, 96953, 97018, 97066, 97075, 97143, 97243, 97455, 97503, 97507, 97775, 97780, 97851, 97882, 97884, 97939, 98067, 98178, 98301, 98307, 98308, 98309, 98337, 98556, 98569, 98870, 98892, 98922, 98943, 99282, 99296, 99325, 99578, 99627, 99818, 99900, 100223, 100298, 100305, 100352, 100356, 100358, 100360, 100386, 100468, 100474, 100476, 100480, 100483, 100485, 100487, 100489, 100491, 100493, 100497, 100504, 100508, 100510, 100516, 100520, 100524, 100526, 100528, 100536, 100538, 100542, 100545, 100547, 100569, 100575, 100589, 100594, 100600, 100606, 101092, 101280, 101282, 101284, 101350, 101614, 101639, 101662, 101715, 101747, 101751, 101762, 101766, 101902, 101986, 102012, 102029, 102176, 102280, 102532, 102595, 102672, 102828, 102869, 103018, 103038, 103046, 103112, 103338, 103494, 103666, 103866, 104156, 104292, 104696, 104726, 104898, 104912, 105060, 105278, 105308, 105352, 105374, 105403, 105409, 105652, 105820, 105856, 105955, 105992, 106143, 106732, 106818, 107020, 107082, 107152, 107356, 107380, 107383, 107623, 107633, 108262, 108586, 109205, 109626, 109844, 109873, 109890, 109893, 109950, 110000, 110650, 110724, 110730, 110754, 110846, 110854, 110860, 110870, 110876, 110882, 110888, 110900, 111236, 111270, 111344, 111450, 111504, 111798, 112052, 112100, 112170, 112239, 112240, 112248, 112262, 112606, 112674, 112712, 112940, 113025, 113034, 113052, 113054, 113056, 113058, 113311, 113347, 113783, 113799, 113801, 113821, 114044, 114059, 114089, 114099, 114157, 114186, 114912, 114965, 115076, 115178, 115558, 115886, 115998, 116120, 116642, 116782, 116956, 117164, 117246, 117324, 117330, 117470, 117588, 117630, 117644, 117717, 117729, 118266, 118321, 118342, 118348, 118358, 118510, 118678, 118768, 118826, 118870, 118876, 119012, 119032, 119650, 119744, 119982, 120127, 120769, 120893, 121081, 121222, 121260, 121286, 121315, 121317, 121798, 121802, 121860, 122132, 122404, 122910, 122924, 123153, 123284, 123687, 123704, 150071, 150072, 150122, 150203, 150286, 1006144, 1006200, 1009421, 1014155, 1042838, 1048014, 1055334, 1056475, 1058935, 1068884, 1069370, 1071817, 1072244, 1073315, 1073856, 1073879, 1075632, 1076118, 1097023, 1099321, 1099989, 1101027, 1102384, 1104426, 1104762, 1104814, 1105780, 1106336, 1107614, 1108341, 1108440, 1110365, 1111568, 1112733, 1116091, 1116833, 1116879, 1116904, 1118295, 1118531, 1119524, 1121154, 1124974, 1125139, 1125448, 1125934, 1126244, 1126994, 1127355, 1128934, 1130148, 1132814, 1133262, 1136373, 1136664, 1137223, 1139787, 1140278, 1142158, 1142393, 1143412, 1143724, 1147178, 1148674, 1148764, 1149137, 1150372, 1150432, 1151166, 1151646, 1151679, 1151779, 1152082, 1152584, 1152586, 1153477, 1153884, 1154758, 1155078, 1155387, 1155961, 1159278, 1160831, 1160932, 1161601, 1161924, 1166455, 1166499, 1167953, 1170205, 1170433, 1173141, 1174076, 1174846, 1177389, 1177880, 1178271, 1178745, 1178769, 1179160, 1179300, 1179383, 1180297, 1180714, 1183017, 1183586, 1184189, 1184525, 1184563, 1185341, 1185841, 1185946, 1186073, 1187658, 1188184, 1188523, 1189097, 1189846, 1190047, 1190683, 1192251, 1192321, 1193519, 1193853, 1202263, 1202603, 1203134, 1204221, 1204223, 1204697, 1204898, 1204947, 1205238, 1205299, 1205313, 1205432, 1206096, 1206349, 1206696, 1206815, 1206922, 1207811, 1208236, 1210187, 1210582, 1210687, 1211722, 1211878, 1257535, 1257740, 1257954, 1257979, 1258129, 1258343, 1258435, 1258514, 1258528, 1258704, 1259021, 1259034, 1259093, 1259497, 1259742, 1259856, 1259917, 1260069, 1260095, 1260609, 1260665, 1261117, 1261544, 1261598, 1261746, 1261819, 1261824, 1262017, 1262336, 1262581, 1262634, 1262853, 1262931, 1263050, 1264090, 1266539, 1268512, 1270213, 1270476, 1270651, 1272856, 1272863, 1276747, 1278626, 1279591, 1279605, 1279621, 1279792, 1280058, 1280497, 1280500, 1280608, 1284023, 1284212, 1284313, 1284582, 1284791, 1285099, 1285156, 1285208, 1285821, 1285826, 1286097, 1286321, 1286682, 1286923, 1287044, 1287373, 1287408, 1288676, 1292298, 1292684, 1292694, 1293114, 1299611, 1299627, 1299993, 1300312, 1303429, 1304069, 1304724, 1304820, 1304841, 1304927, 1305187, 1305192, 1305982, 1306249, 1306367, 1306441, 1306500, 1307282, 1307553, 1307941, 1308487, 1308929, 1310591, 1313000, 1313050, 1313149, 1313272, 1313489, 1314323, 1314351, 1314420, 1315468, 1319230, 1321319, 1321331, 1321344, 1321506, 1321588, 1321700, 1321705, 1321803, 1321866, 1322142, 1322330, 1322936, 1323048, 1323539, 1323838, 1325267, 1325431, 1325693, 1327335, 1330117, 1330274, 1330398, 1330648, 1330872, 1330982, 1331229, 1331428, 1331442, 1331729, 1331875, 1331921, 1332677, 1332930, 1333118, 1333183, 1333567, 1333652, 1335120, 1337054, 1341058, 1341949, 1342870, 1343136, 1343142, 1343942, 1349488, 1349494, 1349714, 1349759, 1350088, 1350106, 1350336, 1350580, 1350609, 1350801, 1350812, 1352010, 1352554, 1353083, 1353355, 1355582, 1357741, 1358040, 1358414, 1363957, 1364121, 1364551, 1364633, 1365255, 1365564, 1365654, 1365933, 1366367, 1366594, 1366964, 1367365, 1368571, 1369415, 1371490, 1375237, 1375345, 1375411, 1376182, 1376267, 1378999, 1379287, 1379291, 1382642, 1382773, 1383124, 1385361, 1385788, 1385838, 1386483, 1387381, 1389012, 1389563, 1390285, 1395806, 1395909, 1399018, 1399534, 1400679, 1403989, 1404084, 1404086, 1404097, 1404254, 1404585, 1404979, 1405026, 1416600, 1419729, 1419769, 1419858, 1420345, 1420440, 1420646, 1422098, 1425207, 1425307, 1425379, 1425394, 1427360, 1427406, 1427497, 1427574, 1427634, 1427734, 1429958, 1430478, 1430649, 1431238, 1431245, 1438321, 1438364, 1438435, 1441028, 1442114, 1442120, 1442869, 1443184, 1443195, 1445623, 1445845, 1446088, 1446658, 1451964, 1452146, 1453388, 1453458, 1453483, 1455001, 1457902, 1458255, 1465672, 1473646, 1479184, 1483392, 1483835, 1484388, 1496374, 1523189, 1548309, 1549984, 1563216, 2500068, 5000213, 5000402, 5000403, 5000581, 5000695, 5000885, 5001328
2401;História (Bacharelado);1446, 11430, 13211, 14112, 20064, 20944, 33205, 41858, 45038, 60540, 100026, 107716, 113619, 116920, 123332, 150255, 300592, 301646, 302540, 303135, 307510, 310872, 311243, 311321, 311995, 312577, 312705, 312817, 312967, 313100, 313300, 313579, 313984, 314128, 314231, 317194, 339024, 348944, 401278, 402728, 417130, 420439, 1083431, 1105825, 1113228, 1113732, 1117473, 1123212, 1174682, 1276399, 1427694, 1442568, 1443997, 1457054, 1457700, 1469017
2402;História (Licenciatura);25, 311, 402, 494, 592, 775, 955, 1034, 1095, 1222, 1646, 1740, 2199, 2206, 2213, 2540, 2623, 3135, 3172, 3399, 3499, 3568, 3603, 3612, 3671, 3802, 3925, 4092, 4406, 4465, 4729, 4867, 5041, 5077, 5701, 5950, 6412, 6566, 6625, 7079, 7510, 7650, 7725, 7756, 7830, 8158, 8303, 8417, 8423, 8429, 8585, 8909, 9289, 9897, 10051, 10497, 10797, 10872, 11161, 11243, 11321, 11329, 11539, 11603, 11613, 11886, 11889, 11897, 11995, 12065, 12073, 12324, 12350, 12577, 12705, 12817, 12967, 13100, 13300, 13405, 13415, 13449, 13579, 13984, 14128, 14231, 14514, 14831, 14993, 15199, 15207, 15349, 15409, 15627, 15694, 15707, 15721, 15737, 15845, 15849, 15855, 15859, 15992, 16092, 16266, 16319, 16334, 16394, 16551, 16593, 16683, 17134, 17138, 17194, 17347, 17671, 18115, 18316, 18317, 18405, 19044, 19275, 19329, 19827, 19868, 20566, 20643, 21086, 21784, 21788, 21795, 21797, 21801, 21805, 21811, 21814, 21819, 28100, 28308, 35316, 37878, 38256, 39024, 39244, 41857, 42194, 43471, 44369, 45039, 46234, 48378, 48944, 49559, 49727, 50321, 50731, 50733, 50846, 51008, 52121, 52142, 53467, 54884, 55327, 59798, 60740, 60762, 63459, 64600, 66903, 67575, 68265, 69043, 71041, 71119, 74182, 74478, 74666, 80218, 80244, 83809, 83960, 83968, 83974, 84427, 84856, 85343, 86428, 87217, 87483, 87888, 88778, 89143, 90001, 90503, 91545, 91805, 92400, 92433, 92848, 95123, 95125, 96152, 97986, 98331, 98399, 98564, 99940, 100728, 101278, 101300, 102092, 102728, 102987, 103377, 104018, 104572, 105860, 105949, 106418, 106678, 107512, 108620, 108848, 109766, 109776, 110824, 111166, 114238, 114560, 115681, 117130, 117650, 118568, 119100, 119914, 120439, 120773, 122214, 122758, 123637, 123831, 150205, 311430, 314112, 320064, 1073313, 1103710, 1103739, 1107873, 1122208, 1129262, 1136917, 1139785, 1143416, 1147553, 1151148, 1151425, 1151468, 1151594, 1152360, 1152438, 1152590, 1154403, 1160099, 1160839, 1160947, 1161925, 1170106, 1178743, 1181052, 1205821, 1259286, 1262485, 1266765, 1270446, 1270474, 1271848, 1272855, 1272861, 1279057, 1285865, 1286531, 1298770, 1299294, 1300006, 1304818, 1305529, 1312227, 1313051, 1314234, 1319163, 1321594, 1322732, 1324172, 1328972, 1330342, 1331703, 1333032, 1349557, 1352387, 1358039, 1366233, 1375340, 1377545, 1379283, 1382502, 1382554, 1382645, 1385318, 1385713, 1387218, 1398210, 1399010, 1400344, 1400420, 1403006, 1405269, 1410370, 1419767, 1419826, 1420447, 1427036, 1427039, 1429955, 1438260, 1441024, 1442028, 1443180, 1457035, 1457673, 1458254, 1466676, 1483498, 1496474, 1514190, 1518696, 1518703, 1518705, 1563212, 5000036, 5000371, 5000400, 5000401, 5000547, 5001161
2501;Artes Visuais (Licenciatura);151, 1044, 6481, 9600, 11462, 12943, 13312, 14768, 21865, 21990, 23315, 23910, 28184, 31978, 36348, 39550, 52159, 52386, 52472, 58330, 62512, 63886, 70395, 70536, 70694, 80419, 84006, 84840, 86685, 88502, 91972, 92597, 94725, 95667, 99238, 100738, 101578, 102702, 107438, 109871, 111006, 111378, 111734, 111889, 112126, 112356, 114907, 116522, 116768, 116892, 116962, 117352, 119216, 120080, 120114, 123567, 1103310, 1103469, 1105133, 1111550, 1112914, 1143413, 1146843, 1147017, 1151733, 1152477, 1152588, 1153642, 1153951, 1154848, 1155133, 1156313, 1178043, 1212284, 1262447, 1266926, 1276412, 1284746, 1285868, 1314353, 1314375, 1321293, 1321343, 1323001, 1333079, 1404178, 1404229, 1427707, 1487895, 1501312, 5000539
3001;Geografia (Bacharelado);310, 1033, 12323, 13210, 16413, 41057, 45030, 47369, 52249, 101628, 113606, 116204, 116560, 118064, 123643, 150254, 150309, 300129, 300403, 300771, 301893, 302541, 303144, 303162, 303400, 307509, 308766, 310496, 310871, 311303, 311429, 311991, 312689, 312818, 312965, 313099, 313274, 313406, 313976, 314102, 314111, 314133, 314230, 314326, 315844, 315994, 317135, 317195, 338102, 343869, 349476, 352225, 382077, 399022, 403022, 417132, 423708, 1083438, 1108033, 1113052, 1113727, 1128362, 1174278, 1183136, 1259381, 1299196, 1313326, 1323576, 1427695, 1443961, 1454616, 1457689, 1468959, 5000372
3002;Geografia (Licenciatura);24, 328, 403, 495, 771, 1445, 1716, 1893, 2205, 2541, 2622, 3144, 3162, 3400, 3569, 3614, 3645, 6575, 7509, 7829, 7845, 8418, 8422, 8430, 8766, 9293, 10050, 10496, 10804, 10871, 11162, 11303, 11327, 11429, 11529, 11598, 11614, 11887, 11888, 11912, 11991, 12052, 12083, 12098, 12351, 12560, 12689, 12818, 12965, 13099, 13274, 13406, 13407, 13976, 14102, 14111, 14133, 14230, 14326, 14992, 15411, 15628, 15710, 15720, 15738, 15844, 15854, 15858, 15864, 15994, 16186, 16267, 16594, 16684, 16898, 17135, 17139, 17195, 17672, 18318, 18399, 19043, 19661, 20943, 21085, 21785, 21789, 21794, 21798, 21806, 21812, 21815, 21820, 23485, 38102, 43788, 43869, 44366, 45031, 46588, 46710, 47370, 48283, 52225, 52231, 52435, 54672, 55324, 57502, 60637, 60672, 60934, 60986, 62380, 64274, 66899, 72598, 74184, 82077, 83158, 83962, 83970, 83972, 85444, 87561, 91797, 95051, 96450, 97211, 98562, 99022, 99876, 99950, 100726, 101856, 103022, 103372, 105084, 105780, 106064, 106093, 106416, 106676, 107508, 108618, 108846, 111004, 111314, 112806, 113279, 114558, 114971, 115080, 116690, 117132, 120657, 120777, 121185, 122210, 122316, 123638, 150104, 312323, 1077817, 1103426, 1107032, 1108035, 1113373, 1122742, 1129627, 1143415, 1149624, 1149644, 1151167, 1151320, 1152889, 1153463, 1160261, 1170085, 1177731, 1178742, 1185732, 1189708, 1190156, 1194057, 1200069, 1205895, 1211881, 1266741, 1270473, 1278713, 1278881, 1285864, 1286528, 1292569, 1298413, 1298975, 1304730, 1305546, 1308687, 1313153, 1313445, 1313979, 1314212, 1321336, 1321515, 1330038, 1330343, 1331701, 1364271, 1364469, 1375339, 1375414, 1404087, 1404146, 1404227, 1404231, 1419627, 1419776, 1420446, 1425261, 1427038, 1427407, 1427496, 1429864, 1434893, 1442010, 1442014, 1442016, 1442025, 1442030, 1457193, 1458745, 1483405, 1496475, 5000398, 5000399
3201;Filosofia (Bacharelado);12321, 12834, 27858, 40700, 41849, 45024, 52196, 66597, 66637, 67545, 68172, 69002, 73719, 79645, 86920, 88504, 88963, 98144, 102308, 110414, 121366, 121602, 300595, 300950, 301321, 301453, 301513, 301881, 302197, 303168, 304194, 307505, 310495, 310863, 311229, 311301, 311994, 312578, 312962, 313097, 313303, 313409, 313577, 314110, 314228, 314346, 317270, 318975, 320530, 337274, 350042, 358380, 399189, 399346, 401276, 408644, 1101762, 1103021, 1103709, 1105840, 1158382, 1190140, 1202870, 1287595, 1332250, 1343523, 1352402, 1353030, 1366250, 1366291, 1395631, 1397174, 1397180, 1397977, 1405575, 1427500, 1427697, 5001248
3202;Filosofia (Licenciatura);326, 380, 496, 595, 779, 849, 950, 1223, 1321, 1453, 1513, 1643, 1738, 1881, 2108, 2197, 3168, 4194, 4727, 4866, 5483, 5954, 7505, 7828, 8912, 10809, 10863, 11301, 11431, 11994, 12962, 13097, 13209, 13303, 13409, 13577, 13839, 14110, 14228, 14346, 14985, 17270, 17346, 17596, 17924, 18975, 20530, 21625, 37274, 41848, 44362, 45025, 45735, 48044, 49472, 49701, 49756, 50042, 51283, 51537, 53692, 54780, 58380, 64518, 73522, 82605, 84701, 87804, 92129, 99189, 99346, 100740, 101774, 106674, 108342, 108644, 109394, 113100, 113457, 114061, 115686, 116506, 116732, 117128, 120737, 121367, 121934, 122048, 150125, 312321, 312834, 1042112, 1100877, 1101763, 1103708, 1105404, 1109941, 1111969, 1135224, 1138346, 1143414, 1143719, 1146611, 1148478, 1152589, 1159779, 1160309, 1165863, 1179334, 1259014, 1259107, 1266738, 1268556, 1268558, 1285863, 1292739, 1306306, 1313175, 1314985, 1321266, 1321322, 1322730, 1326802, 1343533, 1365247, 1382608, 1382643, 1385367, 1404094, 1404147, 1425237, 1425301, 1454631, 1455354, 1483404, 5000396, 5000397
